fecha,provincia,altitud,velmedia,tmin,tmed,tmax,presMin,presMax,sol,prec,ha,psat,hr,vol_min,vol_max,delta_V,delta_P,delta_T
2020-03-01,ALICANTE,43,3.1,12.6,17.6,22.6,1007.2,1012.5,7.0,0.0,0.19770844718666306,10.255118127696257,64.0,2.8701234567901235,2.885226370135028,0.015102913344904323,5.2999999999999545,10.000000000000002
2020-03-01,ALMERIA,21,3.6,12.9,16.8,20.6,1011.9,1015.0,5.0,0.0,0.11595985395043515,10.032146045795276,66.0,2.8551724137931034,2.8639193596205157,0.008746945827412311,3.1000000000000227,7.700000000000001
2020-03-01,BADAJOZ,185,3.1,11.2,14.6,17.9,990.0,995.8,1.6,3.8,0.21861589752191168,9.436857957261294,67.0,2.8881301466157865,2.905050505050505,0.01692035843471862,5.7999999999999545,6.699999999999999
2020-03-01,CADIZ,2,2.2,15.1,17.3,19.5,1018.8,1022.7,1.9000000000000001,0.0,0.1456338414211806,10.171093344596885,87.0,2.8385645839444607,2.8494307027875934,0.01086611884313271,3.900000000000091,4.4
2020-03-01,CIUDAD_REAL,628,3.6,9.4,12.4,15.4,939.0,945.6,2.2,6.0,0.250686444054573,8.867329761963214,62.0,3.0181895093062607,3.0394036208732693,0.021214111567008587,6.600000000000023,6.0
2020-03-01,CORDOBA,90,4.4,9.9,14.0,18.1,1005.6,1010.7,7.4,1.3,0.19263288741967577,9.279002680356461,83.0,2.8396161076481645,2.8540175019888623,0.01440139434069776,5.100000000000023,8.200000000000001
2020-03-01,GRANADA,687,1.9,8.8,12.9,17.0,937.4,940.9,5.2,2.0,0.1327074093579957,8.994537248504512,62.0,3.038580082899352,3.049925325368039,0.011345242468687289,3.5,8.2
2020-03-01,HUELVA,19,4.4,10.0,15.0,19.9,1015.0,1019.3,4.6,0.2,0.1618523131518538,9.543158534720844,88.0,2.8254684587461982,2.8374384236453203,0.011969964899122054,4.2999999999999545,9.899999999999999
2020-03-01,JAEN,580,3.1,11.0,14.0,17.0,948.1,953.5,5.7,3.4,0.20396423373847847,9.279002680356461,70.0,3.0099632931305718,3.0271068452694863,0.017143552138914497,5.399999999999977,6.0
2020-03-01,LA_CORUÑA,58,6.4,11.6,13.8,16.1,987.2,1001.4,2.5,38.0,0.5367242208899846,9.226807937522544,82.0,2.8639904134212104,2.9051863857374394,0.04119597231622896,14.199999999999932,4.500000000000002
2020-03-01,LUGO,445,5.3,7.5,10.6,13.6,942.1,957.8,2.3,31.4,0.6001127600408968,8.420090709870907,77.0,2.9609521820839424,3.0102961469058487,0.04934396482190628,15.699999999999932,6.1
2020-03-01,MADRID,667,4.2,8.3,11.8,15.2,929.1,938.3,4.6,2.2,0.35017750573891193,8.716395371233467,54.0,3.035276563998721,3.065332041760844,0.030055477762122695,9.199999999999932,6.899999999999999
2020-03-01,MALAGA,5,4.7,13.3,18.1,22.9,1016.1,1020.2,6.9,0.0,0.1526817051939718,10.396258260592951,80.0,2.8533620858655167,2.8648755043794902,0.011513418513973583,4.100000000000023,9.599999999999998
2020-03-01,ORENSE,143,3.1,9.3,13.4,17.5,979.8,994.8,2.9,20.2,0.5677536373136775,9.123051259545045,62.0,2.878970647366305,2.9230455194937743,0.04407487212746952,15.0,8.2
2020-03-01,PALENCIA,830,4.7,5.6,11.0,16.5,903.3,917.1,5.2,17.2,0.5267451007934411,8.518038887786565,66.0,3.0967179151673756,3.144027454887634,0.04730953972025853,13.800000000000068,10.9
2020-03-01,PONTEVEDRA,108,3.3,9.7,12.2,14.6,984.4,998.8,1.8,29.0,0.5473355969207804,8.81681100092375,66.0,2.855426511814177,2.897196261682243,0.04176974986806625,14.399999999999977,4.9
2020-03-01,SALAMANCA,775,5.6,7.3,11.8,16.4,915.7,925.9,2.45,8.0,0.3882402781018374,8.716395371233467,66.0,3.075926125931526,3.1101889265043137,0.03426280057278763,10.199999999999932,9.099999999999998
2020-03-01,SEVILLA,34,5.3,12.0,15.6,19.3,1014.0,1018.4,3.1,1.4,0.16527218262576096,9.704214009514605,83.0,2.8338570306362922,2.8461538461538463,0.012296815517554016,4.399999999999977,7.300000000000001
2020-03-01,VALENCIA,56,8.3,14.0,18.0,22.0,1000.8,1007.4,8.1,0.0,0.24586472299427553,10.367920092037876,62.0,2.888624181060155,2.907673860911271,0.019049679851116164,6.600000000000023,8.0
2020-03-01,ZAMORA,656,3.9,7.7,12.2,16.6,925.5,937.6,6.6,21.6,0.4599139390792685,8.81681100092375,64.0,3.0418088737201363,3.0815775256618045,0.03976865194166823,12.100000000000023,8.900000000000002
2020-03-01,ZARAGOZA,249,7.5,11.9,16.6,21.3,971.3,981.3,8.1,1.2,0.3743222427891499,9.97694872790502,60.0,2.951187200652196,2.981571090291362,0.03038388963916594,10.0,9.4
2020-03-02,ALICANTE,43,9.7,12.1,18.5,24.9,999.9,1014.7,7.2,0.6,0.5503878188762966,10.510163308334603,64.0,2.8727702769291414,2.915291529152915,0.042521252223773676,14.800000000000068,12.799999999999999
2020-03-02,ALMERIA,21,12.8,12.8,16.9,21.0,1006.6,1015.8,9.1,0.0,0.344020273264275,10.059826364937905,66.0,2.853908249655444,2.879992052453805,0.026083802798360978,9.199999999999932,8.2
2020-03-02,BADAJOZ,185,6.1,9.1,13.2,17.2,987.2,1000.5,8.1,0.0,0.5037598285246979,9.071488417459467,67.0,2.8605697151424287,2.8991085899513775,0.0385388748089488,13.299999999999955,8.1
