,fecha,provincia,v_muy_cortos,v_cortos,v_medios,v_largos,v_muy_largos,v_extra_largos,v_noche,v_madrugada,v_mañana,v_mediodia,v_sobremesa,v_tarde,v_km_muy_cortos,v_km_cortos,v_km_medios,v_km_largos,v_km_muy_largos,v_km_extra_largos,v_km_noche,v_km_madrugada,v_km_mañana,v_km_mediodia,v_km_sobremesa,v_km_tarde,cero_viajes,un_viaje,dos_viajes,mas_de_dos_viajes,num_casos,poblacion,altitud,tmed,prec,tmin,tmax,velmedia,sol,presMax,presMin,hr
10,2020-03-01,LUGO,164613892.0,194316725.0,275091951.0,469416971.0,42482564.0,22484196.0,116278789.0,80687013.0,182552923.0,274288587.0,302667117.0,211931870.0,204984185.0,663618478.0,2033159199.0,9160441660.0,2997452241.0,4354611956.0,1282284018.0,1124005391.0,3520004090.0,4873485517.0,6063460581.0,2551028122.0,200379424.0,39585202.0,101052847.0,191958712.0,0.0,329587,445,10.6,31.4,7.5,13.6,5.3,2.3,957.8,942.1,77.0
11,2020-03-01,MADRID,5879821987.0,3577525728.0,2357448151.0,2690355349.0,276164715.0,188566334.0,1510774287.0,1080619109.0,2464168042.0,3560585951.0,3553285450.0,2800449425.0,6900613587.0,11375625967.0,16865792359.0,54533449075.0,17476906867.0,63137885116.0,9251714842.0,12126122509.0,33067829601.0,45698037768.0,47937334173.0,22209234078.0,2427088495.0,519964151.0,1122076193.0,2335326727.0,23.0,6663394,667,11.8,2.2,8.3,15.2,4.2,,938.3,929.1,54.0
12,2020-03-01,MALAGA,1617909995.0,1090779192.0,809146741.0,974458920.0,120398487.0,117747151.0,430714464.0,342809230.0,836729786.0,1154829938.0,1189321500.0,776035568.0,1948443216.0,3502926489.0,5793516385.0,19394879998.0,8407991132.0,23017839905.0,2750300116.0,4261760463.0,12507685762.0,17412072920.0,19398930826.0,5734847038.0,762241767.0,123856489.0,305043119.0,737064506.0,0.0,1661785,5,18.1,0.0,13.3,22.9,4.7,6.9,1020.2,1016.1,80.0
13,2020-03-01,ORENSE,164898558.0,297919890.0,377943252.0,528393179.0,45089330.0,27823088.0,124959796.0,89834394.0,237427198.0,349650112.0,386898764.0,253297033.0,211477332.0,1024257572.0,2790069596.0,9843699970.0,3064305708.0,6501004439.0,1280850108.0,1394846341.0,4132838321.0,6213842653.0,7557413894.0,2855023300.0,261109716.0,51182916.0,111851115.0,192629887.0,0.0,307651,143,13.4,20.2,9.3,17.5,3.1,2.9,994.8,979.8,62.0
14,2020-03-01,PALENCIA,118117882.0,147712458.0,292255512.0,898820922.0,114591254.0,94510827.0,143732214.0,107090683.0,255482539.0,396188726.0,479881666.0,283633027.0,144455241.0,531462710.0,2203722957.0,18911468383.0,7979118269.0,17029979823.0,2255509074.0,2426304928.0,7321349683.0,11061222210.0,18018083222.0,5717738266.0,448838764.0,127954676.0,189761117.0,244806984.0,0.0,160980,830,11.0,17.2,5.6,16.5,4.7,5.2,917.1,903.3,66.0
15,2020-03-01,PONTEVEDRA,531269406.0,716996616.0,777105046.0,565740128.0,33324930.0,19958752.0,288894696.0,183095241.0,414145149.0,631512138.0,636692810.0,490054844.0,638416526.0,2443766011.0,5581298637.0,9945534834.0,2302274237.0,5484911874.0,1981876933.0,1662666829.0,4726897944.0,6912638223.0,7373403218.0,3738718972.0,339714684.0,72599730.0,192791771.0,252339675.0,0.0,942665,108,12.2,29.0,9.7,14.6,3.3,1.8,998.8,984.4,66.0
16,2020-03-01,SALAMANCA,234071550.0,379665477.0,836792698.0,1825506919.0,204798019.0,233032096.0,295614549.0,230949820.0,657070567.0,931063624.0,1019766798.0,579401401.0,277531812.0,1368673558.0,6297464733.0,35941067072.0,13454686584.0,50594769873.0,4042037348.0,5531922124.0,20155060814.0,31148511274.0,37313746962.0,9742915110.0,978638680.0,195169552.0,424803097.0,620670769.0,1.0,330119,775,11.8,8.0,7.3,16.4,5.6,,925.9,915.7,66.0
17,2020-03-01,SEVILLA,1687896086.0,980472464.0,593967757.0,672504488.0,106357541.0,78593551.0,403620510.0,282351264.0,688192955.0,977262963.0,988087199.0,780276996.0,1987124072.0,3184349509.0,4186928383.0,13277872096.0,7575369349.0,19449931674.0,2317051218.0,3934837577.0,10277130457.0,13310377329.0,14290886152.0,5531292350.0,813224624.0,144918070.0,395387300.0,606815998.0,0.0,1942389,34,15.6,1.4,12.0,19.3,5.3,3.1,1018.4,1014.0,83.0
18,2020-03-01,VALENCIA,2502048828.0,2039463473.0,1587526293.0,1536819894.0,371822795.0,119746878.0,799544021.0,577825332.0,1536666991.0,1979179578.0,2002568780.0,1261643459.0,2850560422.0,6760251975.0,11338002375.0,32014589952.0,24437980044.0,30477580804.0,5942213426.0,6938080639.0,21007296960.0,30170291288.0,33018045949.0,10803037310.0,1324987636.0,276639463.0,663205483.0,999935834.0,0.0,2565124,56,18.0,0.0,14.0,22.0,8.3,8.1,1007.4,1000.8,62.0
19,2020-03-01,ZAMORA,102069283.0,232298815.0,625133824.0,1222171462.0,140285371.0,162760165.0,225660468.0,153946073.0,367404942.0,591384299.0,721109982.0,425213156.0,128476575.0,867133937.0,4583108759.0,23872259441.0,9719746114.0,36574862184.0,3676706425.0,3696302194.0,12255020336.0,19632878058.0,27089527796.0,9395152201.0,739511750.0,149401658.0,274563720.0,333994144.0,0.0,172539,656,12.2,21.6,7.7,16.6,3.9,6.6,937.6,925.5,64.0
