,fecha,provincia,poblacion,num_casos
109,2020-03-06,CIUDAD_REAL,495761.0,0.0
110,2020-03-06,CORDOBA,782979.0,0.0
111,2020-03-06,GRANADA,914678.0,0.0
112,2020-03-06,HUELVA,521870.0,0.0
113,2020-03-06,JAEN,633564.0,1.0
114,2020-03-06,LA_CORUÑA,1119596.0,1.0
115,2020-03-06,LUGO,329587.0,0.0
116,2020-03-06,MADRID,6663394.0,167.0
117,2020-03-06,MALAGA,1661785.0,11.0
118,2020-03-06,ORENSE,307651.0,0.0
119,2020-03-06,PALENCIA,160980.0,0.0
120,2020-03-06,PONTEVEDRA,942665.0,1.0
121,2020-03-06,SALAMANCA,330119.0,1.0
122,2020-03-06,SEVILLA,1942389.0,1.0
123,2020-03-06,VALENCIA,2565124.0,1.0
124,2020-03-06,ZAMORA,172539.0,0.0
125,2020-03-06,ZARAGOZA,964693.0,3.0
126,2020-03-07,ALICANTE,1858683.0,4.0
127,2020-03-07,ALMERIA,716820.0,1.0
128,2020-03-07,BADAJOZ,673559.0,0.0
129,2020-03-07,CADIZ,1240155.0,1.0
130,2020-03-07,CIUDAD_REAL,495761.0,1.0
131,2020-03-07,CORDOBA,782979.0,0.0
132,2020-03-07,GRANADA,914678.0,0.0
133,2020-03-07,HUELVA,521870.0,0.0
134,2020-03-07,JAEN,633564.0,0.0
135,2020-03-07,LA_CORUÑA,1119596.0,7.0
136,2020-03-07,LUGO,329587.0,0.0
137,2020-03-07,MADRID,6663394.0,180.0
138,2020-03-07,MALAGA,1661785.0,1.0
139,2020-03-07,ORENSE,307651.0,1.0
140,2020-03-07,PALENCIA,160980.0,0.0
141,2020-03-07,PONTEVEDRA,942665.0,0.0
142,2020-03-07,SALAMANCA,330119.0,0.0
143,2020-03-07,SEVILLA,1942389.0,2.0
144,2020-03-07,VALENCIA,2565124.0,3.0
145,2020-03-07,ZAMORA,172539.0,0.0
146,2020-03-07,ZARAGOZA,964693.0,8.0
147,2020-03-08,ALICANTE,1858683.0,1.0
148,2020-03-08,ALMERIA,716820.0,2.0
149,2020-03-08,BADAJOZ,673559.0,0.0
150,2020-03-08,CADIZ,1240155.0,1.0
151,2020-03-08,CIUDAD_REAL,495761.0,2.0
152,2020-03-08,CORDOBA,782979.0,0.0
153,2020-03-08,GRANADA,914678.0,0.0
154,2020-03-08,HUELVA,521870.0,0.0
155,2020-03-08,JAEN,633564.0,4.0
156,2020-03-08,LA_CORUÑA,1119596.0,4.0
157,2020-03-08,LUGO,329587.0,0.0
158,2020-03-08,MADRID,6663394.0,220.0
159,2020-03-08,MALAGA,1661785.0,11.0
160,2020-03-08,ORENSE,307651.0,0.0
161,2020-03-08,PALENCIA,160980.0,0.0
162,2020-03-08,PONTEVEDRA,942665.0,1.0
163,2020-03-08,SALAMANCA,330119.0,0.0
164,2020-03-08,SEVILLA,1942389.0,0.0
165,2020-03-08,VALENCIA,2565124.0,3.0
